"subset","n","target_label","target_gene","rho","p","q"
"All_samples",56,"NLRP3","NLRP3",-0.490225563909774,0.000125461663381162,0.000219557910917033
"All_samples",56,"CASP1","CASP1",-0.177101845522898,0.191631869099357,0.191631869099357
"All_samples",56,"IL1B","IL1B",-0.369241285030759,0.00510177369702781,0.00714248317583893
"All_samples",56,"ASC","PYCARD",0.756049213943951,1.61881346160645e-11,1.13316942312451e-10
"All_samples",56,"TAK1","MAP3K7",-0.583526999316473,2.35758087012837e-06,6.29161467192726e-06
"All_samples",56,"NFKB_p65","RELA",0.187423103212577,0.166602083849006,0.191631869099357
"All_samples",56,"FOXC1","FOXC1",-0.580792891319207,2.69640628796883e-06,6.29161467192726e-06
"Control",8,"NLRP3","NLRP3",-0.738095238095238,0.0365527610528608,0.0365527610528608
"Control",8,"CASP1","CASP1",-0.761904761904762,0.0280049391530719,0.0326724290119172
"Control",8,"IL1B","IL1B",-0.80952380952381,0.0149026676862301,0.0260796684509026
"Control",8,"ASC","PYCARD",0.857142857142857,0.00653001725471527,0.0228550603915035
"Control",8,"TAK1","MAP3K7",-0.857142857142857,0.00653001725471529,0.0228550603915035
"Control",8,"NFKB_p65","RELA",0.833333333333333,0.0101755401234568,0.0237429269547325
"Control",8,"FOXC1","FOXC1",-0.785714285714286,0.0208151272535253,0.0291411781549354
"UC",26,"NLRP3","NLRP3",-0.459145299145299,0.0182989292243228,0.0426975015234198
"UC",26,"CASP1","CASP1",0.0105982905982906,0.95901923428728,0.95901923428728
"UC",26,"IL1B","IL1B",-0.420854700854701,0.0322758614389324,0.0564827575181316
"UC",26,"ASC","PYCARD",0.585641025641025,0.00167052784421575,0.00584684745475511
"UC",26,"TAK1","MAP3K7",-0.368888888888889,0.0636701464760445,0.0891382050664623
"UC",26,"NFKB_p65","RELA",-0.0194871794871795,0.924722078059223,0.95901923428728
"UC",26,"FOXC1","FOXC1",-0.69982905982906,6.91159425576978e-05,0.000483811597903885
"CD",22,"NLRP3","NLRP3",-0.669113495200452,0.000661186548296379,0.00231415291903733
"CD",22,"CASP1","CASP1",-0.359683794466403,0.100144900369709,0.116835717097993
"CD",22,"IL1B","IL1B",-0.594579333709768,0.00351847662865536,0.00820977880019584
"CD",22,"ASC","PYCARD",0.688311688311688,0.000398201468606028,0.00231415291903733
"CD",22,"TAK1","MAP3K7",-0.546019198193111,0.00856765215489777,0.0119947130168569
"CD",22,"NFKB_p65","RELA",-0.103331451157538,0.647236412425203,0.647236412425203
"CD",22,"FOXC1","FOXC1",-0.567476002258611,0.00587760481969483,0.010285808434466
