"target","scope","k","pooled_z","pooled_rho","pooled_lower","pooled_upper","p_pooled","I2","tau2"
"TAK1","Discovery",4,-0.572342890226425,-0.517077829694023,-0.53718429512495,-0.496384041770814,0,0,0
"TAK1","Validation",4,-0.62350734258297,-0.553565322235949,-0.674801416966127,-0.403236401536626,4.51858953379743e-10,0.00182795151901972,8.73797769454149e-07
"TAK1","All_studies",8,-0.573358109309402,-0.517821219680759,-0.537718535193871,-0.497347438197505,0,0.0270751635158117,5.60136878167018e-07
"NLRP3","Discovery",4,-0.526198204071302,-0.482469619471616,-0.503545467778923,-0.460819898302833,2.98643565512058e-300,0,0
"NLRP3","Validation",4,-0.599451692507845,-0.53665928869408,-0.661484304453479,-0.382901557842633,2.0409121040786e-09,0,0
"NLRP3","All_studies",8,-0.527647620146421,-0.483580867044359,-0.50442019167258,-0.462178513458554,6.03704654575003e-308,0,0
"CASP1","Discovery",4,-0.496539938514704,-0.459391652669711,-0.532397596755848,-0.379602066524667,1.03070083880068e-23,90.3864144108559,0.00867461944879496
"CASP1","Validation",4,-0.214006290953916,-0.210797983239024,-0.388482693706704,-0.0179988446331335,0.0323577157959105,0.00521861904435109,2.49468996099977e-06
"CASP1","All_studies",8,-0.436703851806024,-0.410908550335361,-0.506187302091029,-0.30572016901509,1.43740341460338e-12,90.0459314510713,0.0187097913466876
"NFKB_p65","Discovery",4,0.252911208559899,0.247653284141812,0.221335087020012,0.273610998316423,7.35781101526526e-71,0.0238091308457489,2.19725077375853e-07
"NFKB_p65","Validation",4,0.164229196059233,0.162768465375321,-0.15353457307954,0.44881608662302,0.312937229514432,52.516386955472,0.052867576491337
"NFKB_p65","All_studies",8,0.250611068934123,0.245492990248783,0.21929372772439,0.271338468788286,2.27745785566552e-70,0.268224236114654,5.56249894739048e-06
"FOXC1","Discovery",4,-0.10266804570438,-0.102308828225866,-0.129778463613953,-0.0746822676775118,4.96494268101474e-13,0,0
"FOXC1","Validation",4,-0.726468067586531,-0.620899793588055,-0.727061202738167,-0.485741554390434,3.73920529009819e-13,0,0
"FOXC1","All_studies",8,-0.360794297672273,-0.345913481248876,-0.5347414785178,-0.124182266707969,0.00272845594680327,97.8258989704611,0.0930635472826043
"ASC","Discovery",4,0.056949264022859,0.0568877774818537,-0.0220830560078996,0.13515311764067,0.15787620857393,85.4368109283985,0.00541279041735638
"ASC","Validation",4,0.902027350482849,0.717283589547113,0.608181912699561,0.799788025917087,1.8762029040165e-19,0,0
"ASC","All_studies",8,0.421654282333212,0.398323160139092,0.0977646747731989,0.632294981377553,0.0106480730464642,98.9229246036957,0.189957444663458
"IL1B","Discovery",4,0.0412972850659917,0.0412738240355201,-0.0124110719318113,0.0947214593183882,0.131802367782623,68.1625311318143,0.00197533084815286
"IL1B","Validation",4,-0.494989390901173,-0.458167462675225,-0.598618635845065,-0.290385483497564,7.4309830250453e-07,0.00332356326033579,1.58875417052323e-06
"IL1B","All_studies",8,-0.184153216387458,-0.182099379172654,-0.387229253052679,0.0402082843865764,0.107712735403173,97.5638629591881,0.082830970322893
