"study","platform","subset","target_label","n","rho_orig","rho_lower","rho_upper","yi","vi"
"Discovery (GSE193677)","RNA-Seq","All_samples","TAK1",2483,-0.516259402139675,-0.544538182941316,-0.48680822271695,-0.571226426474046,0.000403225806451613
"Discovery (GSE193677)","RNA-Seq","All_samples","NLRP3",2483,-0.481066783680935,-0.510739029271265,-0.45024984472025,-0.524371354808776,0.000403225806451613
"Discovery (GSE193677)","RNA-Seq","All_samples","CASP1",2483,-0.443097836412653,-0.474170327049431,-0.410922922421919,-0.476078890766905,0.000403225806451613
"Discovery (GSE193677)","RNA-Seq","All_samples","NFKB_p65",2483,0.246216781128377,0.20890267824069,0.282815003436852,0.25138142365828,0.000403225806451613
"Discovery (GSE193677)","RNA-Seq","All_samples","FOXC1",2483,-0.0986223148683854,-0.137426599182134,-0.0595157716697376,-0.0989439393185297,0.000403225806451613
"Discovery (GSE193677)","RNA-Seq","All_samples","ASC",2483,0.0673589803901689,0.0280959896076378,0.106414448427464,0.0674611330747886,0.000403225806451613
"Discovery (GSE193677)","RNA-Seq","All_samples","IL1B",2483,0.034461512888627,-0.00488254358249773,0.0736990419925916,0.0344751647344736,0.000403225806451613
"Discovery (GSE193677)","RNA-Seq","CD","CASP1",1154,-0.499333255079774,-0.541439357057543,-0.454728537798084,-0.548417545852118,0.000868809730668983
"Discovery (GSE193677)","RNA-Seq","CD","TAK1",1154,-0.495683521055657,-0.538001985845161,-0.450872734684834,-0.543567290320816,0.000868809730668983
"Discovery (GSE193677)","RNA-Seq","CD","NLRP3",1154,-0.488333009250636,-0.531074895521332,-0.443112275218796,-0.533868991077183,0.000868809730668983
"Discovery (GSE193677)","RNA-Seq","CD","NFKB_p65",1154,0.225384785653604,0.169886466952596,0.279457963451869,0.229321887976987,0.000868809730668983
"Discovery (GSE193677)","RNA-Seq","CD","FOXC1",1154,-0.11587687308225,-0.1724317649019,-0.0585605224060473,-0.116399735646542,0.000868809730668983
"Discovery (GSE193677)","RNA-Seq","CD","ASC",1154,0.062294173244283,0.00460277376694496,0.11957227246057,0.0623749402231614,0.000868809730668983
"Discovery (GSE193677)","RNA-Seq","CD","IL1B",1154,-0.00173478106712332,-0.0594367766577028,0.0559787688489532,-0.00173478280738099,0.000868809730668983
"Discovery (GSE193677)","RNA-Seq","Control","CASP1",460,-0.540339242993875,-0.602026449868078,-0.472240258688308,-0.604634613084047,0.00218818380743982
"Discovery (GSE193677)","RNA-Seq","Control","TAK1",460,-0.530961578884753,-0.593575223560893,-0.461958574068398,-0.591483306729812,0.00218818380743982
"Discovery (GSE193677)","RNA-Seq","Control","NLRP3",460,-0.518150800827735,-0.582007685437957,-0.447942729440299,-0.573808547247444,0.00218818380743982
"Discovery (GSE193677)","RNA-Seq","Control","NFKB_p65",460,0.311966584867151,0.227012725222847,0.392208602454802,0.32272254753373,0.00218818380743982
"Discovery (GSE193677)","RNA-Seq","Control","IL1B",460,0.148921349796796,0.058286067486793,0.237121657940598,0.150037139639531,0.00218818380743982
"Discovery (GSE193677)","RNA-Seq","Control","FOXC1",460,-0.140904960863219,-0.229378811885869,-0.050121780223872,-0.141848748327908,0.00218818380743982
