"target","study","k","pooled_z","pooled_rho","pooled_lower","pooled_upper","I2"
"TAK1","Discovery (GSE193677)",4,-0.572342890226425,-0.517077829694023,-0.53718429512495,-0.496384041770814,0
"TAK1","Validation #1 (GSE235236)",4,-0.62350734258297,-0.55356532223595,-0.674801416966127,-0.403236401536627,0.00182795151847379
"TAK1","Validation #2 (GSE75214)",4,-0.133198108971443,-0.132415937429931,-0.230081512432369,-0.032109642036698,0
"NLRP3","Discovery (GSE193677)",4,-0.526198204071302,-0.482469619471616,-0.503545467778923,-0.460819898302833,0
"NLRP3","Validation #1 (GSE235236)",4,-0.599451692507845,-0.53665928869408,-0.661484304453479,-0.382901557842633,0
"NLRP3","Validation #2 (GSE75214)",4,-0.238746345841374,-0.234311271770059,-0.468858102846218,0.0311029555391983,82.5119296135712
"CASP1","Discovery (GSE193677)",4,-0.496539938514704,-0.45939165266971,-0.532397596755848,-0.379602066524667,90.3864144108558
"CASP1","Validation #1 (GSE235236)",4,-0.214006290953916,-0.210797983239024,-0.388482693706705,-0.0179988446331332,0.00521861904486638
"CASP1","Validation #2 (GSE75214)",4,-0.21834677731547,-0.214941779207023,-0.534691069325048,0.158646418500132,91.2837684619784
"NFKB_p65","Discovery (GSE193677)",4,0.252911208559899,0.247653284141813,0.221335087020012,0.273610998316423,0.0238091308462617
"NFKB_p65","Validation #1 (GSE235236)",4,0.164229196059237,0.162768465375324,-0.153534573079545,0.44881608662303,52.5163869554744
"NFKB_p65","Validation #2 (GSE75214)",4,0.0477718804042972,0.0477355726415336,-0.215584393131822,0.304583766717213,82.0968300746607
"FOXC1","Discovery (GSE193677)",4,-0.10266804570438,-0.102308828225867,-0.129778463613953,-0.0746822676775118,0
"FOXC1","Validation #1 (GSE235236)",4,-0.726468067586531,-0.620899793588055,-0.727061202738167,-0.485741554390433,0
"FOXC1","Validation #2 (GSE75214)",4,0.224415424432199,0.220722443721878,0.0992635415692786,0.335700782323843,25.1378191175474
"ASC","Discovery (GSE193677)",4,0.056949264022859,0.0568877774818538,-0.0220830560078996,0.135153117640671,85.4368109283986
"ASC","Validation #1 (GSE235236)",4,0.902027350482849,0.717283589547113,0.608181912699561,0.799788025917087,0
"ASC","Validation #2 (GSE75214)",4,0.197792181538442,0.195252590214145,-0.0870876825615148,0.448557698147961,84.3797635626791
"IL1B","Discovery (GSE193677)",4,0.0412972850659917,0.0412738240355201,-0.0124110719318114,0.0947214593183882,68.1625311318143
"IL1B","Validation #1 (GSE235236)",4,-0.494989390901172,-0.458167462675224,-0.598618635845065,-0.290385483497564,0.00332356326011027
"IL1B","Validation #2 (GSE75214)",4,-0.0561274575231989,-0.0560685924150927,-0.33429071466337,0.231142500306558,85.0800326817436
