"target","k","pooled_z","pooled_rho","pooled_lower","pooled_upper","p_pooled","I2","tau2","Q_p","scope"
"ASC",12,0.331036008286137,0.319451369046251,0.107372634638634,0.503723998778498,0.00365765288686561,97.8990116745205,0.132557482698233,1.99740812634256e-18,"All 3 cohorts"
"ASC",8,0.421654282333212,0.398323160139092,0.097764674773199,0.632294981377553,0.0106480730464641,98.9229246036957,0.189957444663458,1.70166541192895e-15,"RNA-Seq only"
"CASP1",12,-0.342063173661318,-0.32931806450031,-0.464554693588173,-0.179070728253153,3.13930753541161e-05,95.6179437396294,0.0620741856440866,2.45857955372612e-15,"All 3 cohorts"
"CASP1",8,-0.436703851806024,-0.410908550335361,-0.506187302091029,-0.30572016901509,1.43740341460316e-12,90.0459314510712,0.0187097913466875,9.44182805702717e-06,"RNA-Seq only"
"FOXC1",12,-0.169520173457994,-0.16791478582058,-0.375146702590742,0.055302570329994,0.139548354872915,97.9325403726706,0.134753347483756,1.15722063818124e-13,"All 3 cohorts"
"FOXC1",8,-0.360794297672273,-0.345913481248876,-0.534741478517799,-0.124182266707969,0.00272845594680326,97.825898970461,0.093063547282604,7.62000685042975e-07,"RNA-Seq only"
"IL1B",12,-0.129548448387409,-0.128828552164104,-0.283097938159499,0.0319389663226453,0.115900307101328,95.6463161412791,0.0624972542898176,3.79729764035003e-09,"All 3 cohorts"
"IL1B",8,-0.184153216387458,-0.182099379172654,-0.387229253052678,0.0402082843865764,0.107712735403173,97.5638629591881,0.0828309703228929,2.31489840305337e-06,"RNA-Seq only"
"NFKB_p65",12,0.242012430231051,0.23739567094139,0.212123308542825,0.262350712157308,4.98016723824684e-71,0.0352325584300508,1.00264409564518e-06,0.00564503973862186,"All 3 cohorts"
"NFKB_p65",8,0.250611068934123,0.245492990248783,0.219293727724389,0.271338468788287,2.27745785567603e-70,0.2682242361155,5.56249894740807e-06,0.112398874668698,"RNA-Seq only"
"NLRP3",12,-0.451340906495422,-0.423000608170832,-0.525283577084069,-0.308668312072153,2.26207211974104e-11,93.097308453381,0.0383679184290856,6.41380324558716e-09,"All 3 cohorts"
"NLRP3",8,-0.527647620146422,-0.48358086704436,-0.504420191672581,-0.462178513458554,6.03704654574681e-308,0,0,0.742889933856454,"RNA-Seq only"
"TAK1",12,-0.43805066586304,-0.412027340611509,-0.522402400519938,-0.288072588495474,1.32912263004642e-09,94.1057439078493,0.0454189103650594,1.12887220672272e-11,"All 3 cohorts"
"TAK1",8,-0.573358109309401,-0.517821219680759,-0.537718535193871,-0.497347438197505,0,0.0270751635155402,5.60136878161401e-07,0.564082767323662,"RNA-Seq only"
