"gene","kME"
"EXPH5",0.975723328421943
"CTDSPL",0.967903694241519
"FAM162A",0.957835011554645
"ARHGAP44",0.935862758904042
"SLC9A2",0.930242839009073
"SATB2",0.929060198147203
"RPS6KA6",0.926132545519239
"NDRG2",0.925128340767431
"TRABD2A",0.924592122792133
"IMPA2",0.921669432170642
"SELENBP1",0.913997206957991
"ACADSB",0.912436182810314
"SERINC5",0.909432133049339
"SLC44A1",0.906782561856357
"MRPL35",0.905435248936121
"CWH43",0.902200396311795
"TTPA",0.902072970433282
"TSPAN6",0.900724457524148
"ACAT1",0.898314264781905
"SAMD13",0.897859569766199
"STARD10",0.896853492761759
"PLCE1",0.893600833232122
"ZDHHC23",0.891190292443953
"ADGRA3",0.890989824339459
"PDCD4",0.889352379320271
"NXPE2",0.889012512802052
"OPHN1",0.888008151327835
"ACOT13",0.885006266597526
"ZBTB7C",0.88435365273109
"CNNM2",0.884275761406593
