"subset","target_label","rho_val","q_val","rho_disc","q_disc","direction_consistent"
"All_samples","NLRP3",-0.0951239455486023,0.261870774230146,-0.481066783680935,1.81756068132389e-143,TRUE
"All_samples","CASP1",-0.254832705353511,0.00117591281030243,-0.443097836412653,1.48077293613835e-119,TRUE
"All_samples","IL1B",-0.0847826176280853,0.279820574728203,0.034461512888627,0.0860061371542543,FALSE
"All_samples","ASC",-0.0308390823961573,0.66947810751677,0.0673589803901689,0.000913937046775589,FALSE
"All_samples","TAK1",-0.110404194384751,0.219446924417821,-0.516259402139675,2.22700110600745e-168,TRUE
"All_samples","NFKB_p65",0.142777547221754,0.109745455697056,0.246216781128377,2.30000170619653e-35,TRUE
"All_samples","FOXC1",0.264197754064748,0.00117591281030243,-0.0986223148683854,1.18798536862827e-06,FALSE
"Control","NLRP3",-0.505364201016375,0.0403428917992356,-0.518150800827735,1.34903057603675e-32,TRUE
"Control","CASP1",-0.693958215697346,0.00238404143764678,-0.540339242993875,2.20680294674617e-35,TRUE
"Control","IL1B",0.236589497459063,0.40475750017938,0.148921349796796,0.00190275913603205,TRUE
"Control","ASC",0.0954263128176172,0.784830822067968,-0.0673898557505306,0.149003646791996,FALSE
"Control","TAK1",-0.0355731225296443,0.875116871458223,-0.530961578884753,2.82783142561746e-34,TRUE
"Control","NFKB_p65",-0.50197628458498,0.0403428917992356,0.311966584867151,1.34506211474932e-11,FALSE
"Control","FOXC1",0.302089215132693,0.300678294776386,-0.140904960863219,0.00286280095655071,FALSE
"UC","NLRP3",-0.435461813591416,2.89853025964218e-05,-0.459052352724647,5.76339411860524e-46,TRUE
"UC","CASP1",0.129562907637282,0.240248782126136,-0.351761039399907,2.41746654724232e-26,FALSE
"UC","IL1B",-0.40632232274353,8.48079190013635e-05,0.0158827359824248,0.640099521139729,FALSE
"UC","ASC",0.520592257521565,3.22339357801146e-07,0.145880247236184,2.21127979114342e-05,TRUE
"UC","TAK1",-0.243070166210814,0.0287677628067613,-0.53966662869241,5.44445307564072e-66,TRUE
"UC","NFKB_p65",0.189446139280454,0.0883356586996852,0.246607542638294,2.91072230332801e-13,TRUE
"UC","FOXC1",0.0610403955396592,0.552552946118301,-0.0742689463911809,0.0333432642305113,FALSE
"CD","NLRP3",0.0443243243243243,0.813629493741747,-0.488333009250636,7.96516515579706e-70,FALSE
"CD","CASP1",-0.0276813655761024,0.813629493741747,-0.499333255079774,5.9446600356716e-73,TRUE
"CD","IL1B",0.160426742532006,0.394694422353069,-0.00173478106712334,0.953057493271454,FALSE
"CD","ASC",0.126941678520626,0.486145774304297,0.062294173244283,0.0400758100216699,TRUE
"CD","TAK1",-0.0681934566145092,0.785424529282667,-0.495683521055657,4.82533393638796e-72,TRUE
"CD","NFKB_p65",0.173854907539118,0.394694422353069,0.225384785653604,1.63291823666285e-14,TRUE
"CD","FOXC1",0.29778093883357,0.066272623732674,-0.11587687308225,0.000111517072348206,FALSE
