"subset","n","target_label","target_gene","rho","p","q"
"All_samples",2483,"TAK1","MAP3K7",-0.516259402139675,3.18143015143922e-169,2.22700110600745e-168
"All_samples",2483,"NLRP3","NLRP3",-0.481066783680935,5.19303051806825e-144,1.81756068132389e-143
"All_samples",2483,"CASP1","CASP1",-0.443097836412653,6.34616972630723e-120,1.48077293613835e-119
"All_samples",2483,"NFKB_p65","RELA",0.246216781128377,1.31428668925516e-35,2.30000170619653e-35
"All_samples",2483,"FOXC1","FOXC1",-0.0986223148683854,8.4856097759162e-07,1.18798536862827e-06
"All_samples",2483,"ASC","PYCARD",0.0673589803901689,0.000783374611521933,0.000913937046775589
"All_samples",2483,"IL1B","IL1B",0.034461512888627,0.0860061371542543,0.0860061371542543
"CD_all",1154,"CASP1","CASP1",-0.499333255079774,8.49237147953085e-74,5.9446600356716e-73
"CD_all",1154,"TAK1","MAP3K7",-0.495683521055657,1.37866683896799e-72,4.82533393638796e-72
"CD_all",1154,"NLRP3","NLRP3",-0.488333009250636,3.41364220962731e-70,7.96516515579706e-70
"CD_all",1154,"NFKB_p65","RELA",0.225384785653604,9.33096135235917e-15,1.63291823666285e-14
"CD_all",1154,"FOXC1","FOXC1",-0.11587687308225,7.96550516772898e-05,0.000111517072348206
"CD_all",1154,"ASC","PYCARD",0.062294173244283,0.0343506943042885,0.0400758100216699
"CD_all",1154,"IL1B","IL1B",-0.00173478106712334,0.953057493271454,0.953057493271454
"CD_inflamed",418,"TAK1","MAP3K7",-0.523239067103536,9.39754483969677e-31,6.57828138778774e-30
"CD_inflamed",418,"NLRP3","NLRP3",-0.468886130546979,3.09039311764033e-24,1.08163759117411e-23
"CD_inflamed",418,"CASP1","CASP1",-0.27979261884026,5.88886821889009e-09,1.37406925107435e-08
"CD_inflamed",418,"NFKB_p65","RELA",0.266612768640188,3.11067593927273e-08,5.44368289372728e-08
"CD_inflamed",418,"ASC","PYCARD",0.103870084779717,0.0337525820518261,0.0472536148725565
"CD_inflamed",418,"FOXC1","FOXC1",-0.0461386186931081,0.346713723858932,0.404499344502088
"CD_inflamed",418,"IL1B","IL1B",-0.0160400165325254,0.743684586152433,0.743684586152433
"CD_noninflamed",736,"CASP1","CASP1",-0.543407829771045,8.94916567899892e-58,6.26441597529924e-57
"CD_noninflamed",736,"TAK1","MAP3K7",-0.482019843510527,4.36809177638932e-44,1.52883212173626e-43
"CD_noninflamed",736,"NLRP3","NLRP3",-0.46970863798295,1.16349334899119e-41,2.71481781431279e-41
"CD_noninflamed",736,"NFKB_p65","RELA",0.240211040465977,4.04020255416123e-11,7.07035446978215e-11
"CD_noninflamed",736,"IL1B","IL1B",0.11365755316344,0.00201356898672764,0.00281899658141869
"CD_noninflamed",736,"FOXC1","FOXC1",-0.0997198858474266,0.00677949959627153,0.00790941619565012
"CD_noninflamed",736,"ASC","PYCARD",0.0561781918832072,0.127836703360947,0.127836703360947
"Control",460,"CASP1","CASP1",-0.540339242993875,3.15257563820881e-36,2.20680294674617e-35
"Control",460,"TAK1","MAP3K7",-0.530961578884753,8.07951835890702e-35,2.82783142561746e-34
"Control",460,"NLRP3","NLRP3",-0.518150800827735,5.78155961158605e-33,1.34903057603675e-32
"Control",460,"NFKB_p65","RELA",0.311966584867151,7.68606922713899e-12,1.34506211474932e-11
"Control",460,"IL1B","IL1B",0.148921349796796,0.00135911366859432,0.00190275913603205
"Control",460,"FOXC1","FOXC1",-0.140904960863219,0.00245382939132918,0.00286280095655071
"Control",460,"ASC","PYCARD",-0.0673898557505306,0.149003646791996,0.149003646791996
"UC_all",869,"TAK1","MAP3K7",-0.53966662869241,7.77779010805817e-67,5.44445307564072e-66
"UC_all",869,"NLRP3","NLRP3",-0.459052352724647,1.64668403388721e-46,5.76339411860524e-46
"UC_all",869,"CASP1","CASP1",-0.351761039399907,1.03605709167528e-26,2.41746654724232e-26
"UC_all",869,"NFKB_p65","RELA",0.246607542638294,1.66326988761601e-13,2.91072230332801e-13
"UC_all",869,"ASC","PYCARD",0.145880247236184,1.57948556510244e-05,2.21127979114342e-05
"UC_all",869,"FOXC1","FOXC1",-0.0742689463911809,0.0285799407690097,0.0333432642305113
"UC_all",869,"IL1B","IL1B",0.0158827359824248,0.640099521139729,0.640099521139729
"UC_inflamed",293,"TAK1","MAP3K7",-0.439911894441259,2.68817182638922e-15,1.88172027847246e-14
"UC_inflamed",293,"NLRP3","NLRP3",-0.391858870810001,3.42301631853923e-12,1.19805571148873e-11
