"gene","kME"
"CNNM4",0.94930557603229
"ENSG00000234771",0.942935795432069
"BDH1",0.933441253476848
"SERINC2",0.933011592273867
"HSD11B2",0.932140371525845
"MYO1D",0.929172868600551
"GPA33",0.923712239226142
"DDR1",0.923703810564077
"ZBTB7C",0.903552438323245
"SLC44A4",0.900550785671231
"C1orf226",0.896238456478068
"ESRP1",0.893666030708129
"NRARP",0.892836870146362
"RAB25",0.891164552665204
"ESRP2",0.887600887438891
"OVOL1",0.886110451125984
"HNF4A",0.885452021099079
"EPHA10",0.882287869345961
"MGLL",0.882119173376886
"KDF1",0.879735866953873
"EPN3",0.878780955763009
"HR",0.875463589947823
"PRSS8",0.875004119221579
"TCEA3",0.868931124093333
"LSR",0.867534495868186
"CES3",0.864440434154652
"JUP",0.863020088953189
"CKMT1B",0.859991687457354
"SHD",0.85939259958761
"STARD10",0.858932919110185
