"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006814","sodium ion transport","10/114","242/18842",0.0413223140495868,6.82978106423082,7.12134713464196,2.14603316898604e-06,0.0126186750336379,0.0126186750336379,"NEDD4L/CNNM4/EDN1/PRSS8/WNK2/SCNN1A/SLC9A2/SLC6A7/SLC6A9/WNK4",10
"GO:0061436","establishment of skin barrier","4/114","27/18842",0.148148148148148,24.4860298895387,9.52791952000879,2.00327083896691e-05,0.040026568806278,0.040026568806278,"KDF1/KLF4/CLDN4/LSR",4
"GO:0035725","sodium ion transmembrane transport","8/114","191/18842",0.0418848167539267,6.92275190594287,6.41871161582718,2.1188749035175e-05,0.040026568806278,0.040026568806278,"NEDD4L/CNNM4/WNK2/SCNN1A/SLC9A2/SLC6A7/SLC6A9/WNK4",8
"GO:0042060","wound healing","11/114","394/18842",0.0279187817258883,4.61443583578235,5.65682424365463,2.72289583716177e-05,0.040026568806278,0.040026568806278,"DMTN/EDN1/ERBB3/SYT7/CLDN3/HNF4A/DDR1/PRRG2/MIR200B/ERBB2/CLDN4",11
"GO:0042490","mechanoreceptor differentiation","4/114","31/18842",0.129032258064516,21.3265421618563,8.83684241638597,3.52522628152889e-05,0.0414566610707798,0.0414566610707798,"TPRN/ESRP1/SLC44A4/HES5",4
"GO:0048598","embryonic morphogenesis","10/114","354/18842",0.0282485875706215,4.66894637724254,5.43696740449612,5.81801335444733e-05,0.0524632613393243,0.0524632613393243,"KDF1/TPRN/MMP15/KLF4/EYA2/CRB2/IHH/HOXB9/SLC44A4/HES5",10
"GO:0008544","epidermis development","9/114","287/18842",0.0313588850174216,5.18301852191454,5.57133094225449,6.24562634991956e-05,0.0524632613393243,0.0524632613393243,"KDF1/TPRN/KLF4/ESRP1/OVOL1/SLC44A4/VDR/CLDN4/LSR",9
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","4/114","43/18842",0.0930232558139535,15.374949000408,7.36261118962666,0.000130746696110098,0.0960988216409222,0.0960988216409222,"ERBB3/KLF4/EYA2/UNC5B",4
"GO:0038034","signal transduction in absence of ligand","4/114","45/18842",0.0888888888888889,14.6916179337232,7.17423267920814,0.000156390418073047,0.102175073141057,0.102175073141057,"ERBB3/KLF4/EYA2/UNC5B",4
"GO:0048729","tissue morphogenesis","10/114","408/18842",0.0245098039215686,4.05099759201926,4.86094665375348,0.000186546561530105,0.109689378179702,0.109689378179702,"NRARP/KDF1/KLF4/SIRT6/EYA2/CRB2/DDR1/IHH/HES5/WNK4",10
