"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","2/65","10/9382",0.2,28.8676923076923,7.36424223277203,0.00205208805583003,0.328087694694815,0.328087694694815,"23474/8991",2
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","3/65","38/9382",0.0789473684210526,11.3951417004049,5.36289131681519,0.00225216029694304,0.328087694694815,0.328087694694815,"23327/6337/3291",3
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/65","41/9382",0.0731707317073171,10.5613508442777,5.12457313326411,0.00280416833072491,0.328087694694815,0.328087694694815,"2261/1870/2064",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00730","Thiamine metabolism","2/65","15/9382",0.133333333333333,19.2451282051282,5.90657179721079,0.00468247392516962,0.410887086933634,0.410887086933634,"203/251",2
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","4/65","115/9382",0.0347826086956522,5.02046822742475,3.62325726420847,0.00816704940593595,0.573326868296704,0.573326868296703,"4324/65268/7421/65266",4
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","2/65","22/9382",0.0909090909090909,13.1216783216783,4.75422103633675,0.00998531987005274,0.584141212398085,0.584141212398085,"26/218",2
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","3/65","71/9382",0.0422535211267606,6.0988082340195,3.60199319556598,0.0129787191713235,0.586911698982029,0.586911698982029,"2261/51548/2064",3
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","5/65","217/9382",0.0230414746543779,3.32577100319036,2.89516808347489,0.0169800983334299,0.586911698982029,0.586911698982029,"5652/1365/3728/11240/1364",5
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","3/65","80/9382",0.0375,5.41269230769231,3.31057682149838,0.0178559315389914,0.586911698982029,0.586911698982029,"2261/2065/2064",3
"Metabolism","Glycan biosynthesis and metabolism","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","2/65","30/9382",0.0666666666666667,9.6225641025641,3.95082695887485,0.0181479507996166,0.586911698982029,0.586911698982029,"80235/93210",2
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","4/65","150/9382",0.0266666666666667,3.84902564102564,2.93790188622442,0.0200104700910751,0.586911698982029,0.586911698982029,"1870/3728/2064/1045",4
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","3/65","86/9382",0.0348837209302326,5.0350626118068,3.13974693161274,0.0216018798807697,0.586911698982029,0.586911698982029,"2065/10298/2064",3
"Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","2/65","33/9382",0.0606060606060606,8.74778554778555,3.72387573228186,0.0217374703326677,0.586911698982029,0.586911698982029,"587/2875",2
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","6/65","323/9382",0.0185758513931889,2.68120981185997,2.56818464992251,0.023917232359747,0.599639182733656,0.599639182733656,"2261/2065/1870/10298/406984/2064",6
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","4/65","170/9382",0.0235294117647059,3.39619909502262,2.63338037321659,0.029960435960225,0.701074201469266,0.701074201469266,"23327/1365/2064/1364",4
"Genetic Information Processing","Information processing in viruses","hsa03272","Virion - Hepatitis viruses","2/65","48/9382",0.0416666666666667,6.01410256410256,2.90886209352338,0.0434711708982457,0.953648811580266,0.953648811580266,"1365/1364",2
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","2/65","50/9382",0.04,5.77353846153846,2.82671004225692,0.0467973113777229,0.966226840798867,0.966226840798867,"26/1159",2
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","2/65","55/9382",0.0363636363636364,5.24867132867133,2.63940898571457,0.055502216574939,1,1,"130367/340485",2
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","5/65","300/9382",0.0166666666666667,2.40564102564103,2.0667478823658,0.0563244455135576,1,1,"2261/2065/2064/1850/255189",5
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","2/65","61/9382",0.0327868852459016,4.73240857503153,2.44267698566256,0.066629607189791,1,1,"1181/7421",2
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","2/65","63/9382",0.0317460317460317,4.58217338217338,2.38273322062282,0.0704915914609082,1,1,"441478/388585",2
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","4/65","235/9382",0.0170212765957447,2.45682487725041,1.88905733378897,0.0795861788459283,1,1,"125965/51548/11343/1351",4
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","3/65","148/9382",0.0202702702702703,2.92577962577963,1.97235783136829,0.0829089995040301,1,1,"1870/388585/2064",3
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","2/65","73/9382",0.0273972602739726,3.95447839831402,2.1165763173862,0.0908273279827158,1,1,"1870/2064",2
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","3/65","154/9382",0.0194805194805195,2.81178821178821,1.89346462475911,0.0908486262657654,1,1,"587/203/251",3
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","3/65","156/9382",0.0192307692307692,2.77573964497041,1.86800512499217,0.0935641591358388,1,1,"1365/1870/1364",3
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","2/65","75/9382",0.0266666666666667,3.84902564102564,2.06902306054405,0.0950818819396301,1,1,"587/2875",2
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","4/65","254/9382",0.015748031496063,2.27304663840097,1.71797387624457,0.0989619780998985,1,1,"2261/2065/113026/2064",4
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","2/65","77/9382",0.025974025974026,3.74905094905095,2.0230804869942,0.0993932426419507,1,1,"1870/2064",2
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","2/65","79/9382",0.0253164556962025,3.65413826679649,1.9786490793715,0.103759089866602,1,1,"6534/6536",2
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","1/65","16/9382",0.0625,9.02115384615385,2.68202585003368,0.105352662128416,1,1,"218",1
"Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","1/65","17/9382",0.0588235294117647,8.49049773755656,2.58181099259887,0.111561510832414,1,1,"124975",1
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","2/65","87/9382",0.0229885057471264,3.31812555260831,1.81432498814263,0.121722720926074,1,1,"125965/1351",2
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","3/65","184/9382",0.016304347826087,2.35334448160535,1.54850910700311,0.134880838158176,1,1,"57715/219699/10298",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","1/65","21/9382",0.0476190476190476,6.87326007326007,2.25045822465884,0.135975440919594,1,1,"587",1
