"main","mean_SIRT6","median_SIRT6","pct_expressing","n_cells"
"Neurons",0.560266803800099,0,25,4
"Epithelial_cells",0.408947195768855,0,18.3019827147941,9835
"iPS_cells",0.152780864757457,0,9.09090909090909,11
"CMP",0.088496221346614,0,4.16666666666667,24
"B_cell",0.0823665806964039,0,4.04411764705882,272
"T_cells",0.0556359045177902,0,2.82885431400283,707
"NK_cell",0.0386598047322809,0,1.92307692307692,208
"DC",0,0,0,15
"Embryonic_stem_cells",0,0,0,5
"Erythroblast",0,0,0,1
"GMP",0,0,0,1
"Hepatocytes",0,0,0,36
"MSC",0,0,0,1
"Macrophage",0,0,0,7
"Monocyte",0,0,0,24
"Neuroepithelial_cell",0,0,0,2
"Neutrophils",0,0,0,3
"Pre-B_cell_CD34-",0,0,0,6
"Pro-B_cell_CD34+",0,0,0,4
