"broad","target","n_cells_nz","rho","p","q"
"Epithelial","PYCARD",4409,-0.683082838566592,0,0
"Epithelial","CASP1",2303,-0.648766670855384,2.87158938119898e-275,1.00505628341964e-274
"Epithelial","RELA",2059,-0.554062017627039,5.07244885200169e-166,1.18357139880039e-165
"Epithelial","IL1B",1890,-0.360869855969978,3.19282329279893e-59,5.58744076239813e-59
"Epithelial","MAP3K7",1885,-0.359077977523082,1.8382117737341e-58,2.57349648322774e-58
"Epithelial","FOXC1",1820,-0.176015271088745,3.93791586670718e-14,4.59423517782505e-14
"Epithelial","NLRP3",1801,-0.0408022145939581,0.0834355664946716,0.0834355664946716
"Immune","PYCARD",208,-0.621731559356724,1.2270667718439e-23,5.15015740988901e-23
"Immune","RELA",182,-0.652945829308628,1.71671913662967e-23,5.15015740988901e-23
"Immune","CASP1",158,-0.638809656679786,1.70628663883312e-19,3.41257327766624e-19
"Immune","IL1B",60,-0.795234812599629,3.23362283932175e-14,4.85043425898263e-14
"Immune","MAP3K7",81,-0.694020941604959,6.79045905397097e-13,8.14855086476517e-13
"Immune","NLRP3",44,-0.695811540280247,1.57832183654241e-07,1.57832183654241e-07
"Immune","FOXC1",35,NA,NA,NA
