"subset","target","n","rho_marginal","p_marginal","rho_partial","p_partial","q_marginal","q_partial","attenuation"
"All_samples","NLRP3",2483,-0.481066783680935,5.19303051806825e-144,0.331366678653911,1.04683258379209e-64,1.81756068132389e-143,7.32782808654464e-64,0.149700105027024
"All_samples","CASP1",2483,-0.443097836412653,6.34616972630723e-120,-0.163301741580593,2.65154777999657e-16,1.48077293613835e-119,3.71216689199519e-16,0.279796094832061
"All_samples","IL1B",2483,0.034461512888627,0.0860061371542543,0.293711537054898,1.35362055068498e-50,0.0860061371542543,3.15844795159829e-50,-0.259250024166271
"All_samples","PYCARD",2483,0.0673589803901689,0.000783374611521933,-0.147367457334127,1.58401520437188e-13,0.000913937046775589,1.84801773843386e-13,-0.080008476943958
"All_samples","MAP3K7",2483,-0.516259402139675,3.18143015143922e-169,-0.218696182880551,2.86930470458301e-28,2.22700110600745e-168,5.02128323302027e-28,0.297563219259124
"All_samples","RELA",2483,0.246216781128377,1.31428668925516e-35,0.311843229343787,3.91548790429866e-57,2.30000170619653e-35,1.37042076650453e-56,-0.0656264482154102
"All_samples","FOXC1",2483,-0.0986223148683854,8.4856097759162e-07,0.131731062999514,4.41162776129796e-11,1.18798536862827e-06,4.41162776129796e-11,-0.0331087481311283
"Control","NLRP3",460,-0.518150800827735,5.78155961158605e-33,0.279498342121244,1.05899403047436e-09,1.34903057603675e-32,2.47098607110683e-09,0.23865245870649
"Control","CASP1",460,-0.540339242993875,3.15257563820881e-36,-0.319881418584877,2.10250587824579e-12,2.20680294674617e-35,7.35877057386026e-12,0.220457824408998
"Control","IL1B",460,0.148921349796796,0.00135911366859432,0.320597370649771,1.86632845142704e-12,0.00190275913603205,7.35877057386026e-12,-0.171676020852975
"Control","PYCARD",460,-0.0673898557505306,0.149003646791996,-0.149260831305584,0.0013246693664718,0.149003646791996,0.0015454475942171,-0.0818709755550534
"Control","MAP3K7",460,-0.530961578884753,8.07951835890702e-35,-0.183711988581742,7.39381030060657e-05,2.82783142561746e-34,0.000103513344208492,0.34724959030301
"Control","RELA",460,0.311966584867151,7.68606922713899e-12,0.255027715485951,2.90889865594596e-08,1.34506211474932e-11,5.09057264790543e-08,0.0569388693812006
"Control","FOXC1",460,-0.140904960863219,0.00245382939132918,0.0103660008671102,0.824526407061793,0.00286280095655071,0.824526407061793,0.130538959996109
"UC_inflamed","NLRP3",293,-0.391858870810001,3.42301631853923e-12,0.394803833114765,2.28088681670251e-12,1.19805571148873e-11,7.98310385845879e-12,-0.00294496230476438
"UC_inflamed","CASP1",293,-0.134838048548701,0.0209578593202676,0.0200831070044109,0.732100696839292,0.0209578593202676,0.732100696839292,0.11475494154429
"UC_inflamed","IL1B",293,-0.176198236553025,0.00247115293953893,0.316949630575354,2.92701584671922e-08,0.00288301176279542,6.82970364234484e-08,-0.140751394022329
"UC_inflamed","PYCARD",293,0.185334155168449,0.00144005896157561,-0.220755935784407,0.000139143475829638,0.00201608254620585,0.000194800866161493,-0.0354217806159579
"UC_inflamed","MAP3K7",293,-0.439911894441259,2.68817182638922e-15,-0.265690973519002,3.99566760163764e-06,1.88172027847246e-14,6.99241830286588e-06,0.174220920922257
"UC_inflamed","RELA",293,0.200189683615744,0.00056683667430158,0.421374336405266,4.85605553143522e-14,0.000991964180027765,3.39923887200465e-13,-0.221184652789522
"UC_inflamed","FOXC1",293,-0.21098058831745,0.000275840627834743,0.201777739194203,0.000510998164696,0.000643628131614401,0.000596164525478667,0.00920284912324676
"CD_inflamed","NLRP3",418,-0.468886130546979,3.09039311764033e-24,0.250365234590198,2.1459698323208e-07,1.08163759117411e-23,3.75544720656139e-07,0.218520895956781
"CD_inflamed","CASP1",418,-0.27979261884026,5.88886821889009e-09,-0.0623052570116392,0.203638014505759,1.37406925107435e-08,0.203638014505759,0.217487361828621
"CD_inflamed","IL1B",418,-0.0160400165325254,0.743684586152433,0.301505679809173,3.11647301991032e-10,0.743684586152433,1.09076555696861e-09,-0.285465663276648
"CD_inflamed","PYCARD",418,0.103870084779717,0.0337525820518261,-0.0848908650749756,0.0830013561558423,0.0472536148725565,0.0968349155151494,0.0189792197047415
"CD_inflamed","MAP3K7",418,-0.523239067103536,9.39754483969677e-31,-0.254899032343503,1.26850074424548e-07,6.57828138778774e-30,2.95983506990612e-07,0.268340034760032
"CD_inflamed","RELA",418,0.266612768640188,3.11067593927273e-08,0.413184790897412,1.15012520848019e-18,5.44368289372728e-08,8.05087645936131e-18,-0.146572022257224
"CD_inflamed","FOXC1",418,-0.0461386186931081,0.346713723858932,0.185258907103614,0.000139355318559925,0.404499344502088,0.000195097445983894,-0.139120288410505
