"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.27910527312569,0.892,0.093,0,"Epithelial","SMIM22"
0,3.70127281311446,0.945,0.166,0,"Epithelial","ELF3"
0,4.03576980351768,0.893,0.115,0,"Epithelial","CLDN7"
0,3.967611824028,0.883,0.129,0,"Epithelial","EPCAM"
0,3.53104837255077,0.989,0.238,0,"Epithelial","KRT18"
0,3.47247437287814,0.972,0.236,0,"Epithelial","CLDN3"
0,2.84413799715801,0.934,0.198,0,"Epithelial","CST3"
0,4.15090411411393,0.824,0.098,0,"Epithelial","S100A14"
0,4.04709860826205,0.849,0.123,0,"Epithelial","C19orf33"
0,3.21512180995665,0.93,0.217,0,"Epithelial","C15orf48"
0,3.7976689176779,0.843,0.139,0,"Epithelial","TSPAN8"
0,3.3382331559859,0.956,0.253,0,"Epithelial","CLDN4"
0,4.22336972015144,0.754,0.065,0,"Epithelial","FAM3D"
0,3.22262004238181,0.978,0.306,0,"Epithelial","LGALS4"
0,3.33666991156908,0.92,0.255,0,"Epithelial","KRT19"
0,3.18771225566788,0.967,0.311,0,"Epithelial","PIGR"
0,3.27341723406572,0.907,0.252,0,"Epithelial","FXYD3"
0,4.52103060669663,0.692,0.054,0,"Epithelial","C10orf99"
0,4.53739676046226,0.689,0.06,0,"Epithelial","TMEM54"
0,2.79858187550844,0.951,0.335,0,"Epithelial","LGALS3"
0,2.8497664167789,0.781,0.17,0,"Epithelial","IER3"
0,2.8040927113519,0.887,0.278,0,"Epithelial","AGR2"
0,3.10343909195203,0.781,0.181,0,"Epithelial","CD24"
0,3.53938110311492,0.783,0.183,0,"Epithelial","IFI27"
0,2.93222863035403,0.992,0.407,0,"Epithelial","KRT8"
0,3.26469862731903,0.758,0.175,0,"Epithelial","CKB"
0,2.78632537307414,0.737,0.161,0,"Epithelial","RRBP1"
0,2.21748032159221,0.826,0.301,0,"Epithelial","ITM2C"
0,2.11084999855642,0.863,0.341,0,"Epithelial","NDUFB7"
0,2.17389855280277,0.92,0.415,0,"Epithelial","CHCHD10"
0,2.0352159996241,0.913,0.418,0,"Epithelial","TXN"
0,1.9480792595321,0.919,0.452,0,"Epithelial","ATP5I"
0,1.90192183210508,0.911,0.463,0,"Epithelial","UQCRQ"
0,1.66160170272944,0.873,0.465,0,"Epithelial","NDUFA1"
0,1.68703999577714,0.885,0.487,0,"Epithelial","ATP5G3"
0,1.48384568115073,0.927,0.547,0,"Epithelial","JUN"
0,1.8401026430372,0.974,0.599,0,"Epithelial","COX5B"
0,2.58200574121925,0.852,0.482,0,"Epithelial","FABP1"
0,1.81662263782783,0.973,0.617,0,"Epithelial","S100A10"
0,1.52148755531169,0.939,0.618,0,"Epithelial","TCEB2"
0,1.44790837954761,0.942,0.652,0,"Epithelial","ATP5D"
0,1.35343598415141,0.952,0.68,0,"Epithelial","COX6B1"
0,2.1564419831381,0.998,0.763,0,"Epithelial","PHGR1"
0,1.21021185200091,0.97,0.779,0,"Epithelial","PPDPF"
0,1.69848138556065,1,0.876,0,"Epithelial","S100A6"
0,1.37852628424772,0.985,0.915,0,"Epithelial","MT-RNR1"
0,0.676079503228354,0.995,0.998,0,"Epithelial","MT-CO3"
0,0.892334092693284,0.997,0.998,0,"Epithelial","MT-RNR2"
2.66795448754273e-322,4.12990733284347,0.677,0.089,5.15849000166387e-318,"Epithelial","SFN"
1.64128607548462e-320,2.79889015215435,0.74,0.161,3.17342662694951e-316,"Epithelial","CD9"
3.13534058850855e-319,1.9355284473594,0.814,0.344,6.06218102788128e-315,"Epithelial","ATPIF1"
5.37657255400078e-317,2.88988238101058,0.735,0.171,1.03956030331605e-312,"Epithelial","HES1"
