"subset","target","n","rho_marg","p_marg","rho_part","p_part","q_marg","q_part"
"All_samples","IL6",2483,-0.174081079641985,2.39743941617135e-18,0.35936268359354,1.42182575119734e-76,5.13737017751004e-18,5.33184656699003e-76
"All_samples","TNF",2483,-0.194196377836011,1.5914637959338e-22,0.371848738281984,2.88532448249624e-82,3.97865948983449e-22,1.44266224124812e-81
"All_samples","CCL2",2483,-0.307340422745316,1.82111657571637e-55,0.233578337865092,4.05298150493267e-32,6.82918715893639e-55,6.75496917488779e-32
"All_samples","CXCL8",2483,-0.0863653687877033,1.63662453120383e-05,0.19338603900249,2.39542518291226e-22,2.23176072436886e-05,2.99428147864032e-22
"All_samples","CXCL1",2483,-0.0073072084716865,0.715904613488813,0.300206595426243,6.96378909077159e-53,0.715904613488813,1.49224051945106e-52
"All_samples","CXCL2",2483,0.15761891093433,2.79854947574002e-15,0.263992290929115,7.28145993918567e-41,5.24728026701253e-15,1.36527373859731e-40
"All_samples","ICAM1",2483,-0.254695910908555,4.60017667790101e-38,0.418376064628421,8.28240298139326e-106,1.3800530033703e-37,1.24236044720899e-104
"All_samples","VCAM1",2483,-0.477574268152752,1.14907668599192e-141,0.407121118947091,9.19358256550391e-100,8.61807514493943e-141,6.89518692412793e-99
"All_samples","NFKBIA",2483,-0.0208578109569046,0.298838066275347,0.232901114378778,6.15181829581631e-32,0.320183642437871,9.22772744372446e-32
"All_samples","TNFAIP3",2483,-0.121595618575284,1.21243475023658e-09,0.302664331257705,9.14743819250876e-54,1.81865212535486e-09,2.74423145775263e-53
"All_samples","CCL20",2483,-0.0627209588374639,0.00176676651165483,0.138290218544356,4.49202522192962e-12,0.00220845813956854,5.18310602530341e-12
"All_samples","PTGS2",2483,-0.152293630404356,2.35722661181319e-14,0.302278485643937,1.25968602295906e-53,3.92871101968865e-14,3.14921505739766e-53
"All_samples","BCL2",2483,-0.0546379132984848,0.00646421970570618,0.223257830561632,2.02797468625363e-29,0.00745871504504559,2.76542002670949e-29
"All_samples","BIRC3",2483,-0.550453408731073,9.8748327201207e-197,-0.10305782185771,2.65442942022947e-07,1.4812249080181e-195,2.65442942022947e-07
"All_samples","XIAP",2483,0.338020673658848,2.03675229596802e-67,-0.136043465359127,9.94732463556109e-12,1.01837614798401e-66,1.06578478238155e-11
"Control","IL6",460,-0.124428756331667,0.00754390429300524,0.297210330212021,7.78655247364384e-11,0.0113158564395079,1.66854695863797e-10
"Control","TNF",460,-0.107337361050239,0.0213057550691119,0.399256485698453,4.95980130075161e-19,0.0266321938363899,2.47990065037581e-18
"Control","CCL2",460,-0.321348440662064,1.64646519781953e-12,0.162366562351309,0.000472065871785464,4.93939559345858e-12,0.000505784862627282
"Control","CXCL8",460,0.148513153571655,0.0014016194711687,0.208639559769972,6.40984120847991e-06,0.00233603245194783,8.01230151059989e-06
"Control","CXCL1",460,0.267963623564425,5.26235570860718e-09,0.341240592912646,5.23352490527169e-14,1.3155889271518e-08,1.96257183947688e-13
"Control","CXCL2",460,0.435095382426604,1.13954510662473e-22,0.28356792188533,5.90761691050771e-10,5.69772553312366e-22,1.1076781707202e-09
"Control","ICAM1",460,-0.203511153274539,1.08714665294094e-05,0.42073747609947,3.69077462656891e-21,2.03839997426425e-05,5.53616193985336e-20
"Control","VCAM1",460,-0.512646870814093,3.42738696742452e-32,0.399604191389534,4.5943795534042e-19,2.57054022556839e-31,2.47990065037581e-18
"Control","NFKBIA",460,0.11766333242719,0.0115530655880054,0.297506862135177,7.44202704362031e-11,0.0157541803472802,1.66854695863797e-10
"Control","TNFAIP3",460,-0.0612293104861801,0.189898444181622,0.305905110311351,2.02139687280268e-11,0.189898444181622,6.06419061840804e-11
"Control","CCL20",460,0.0950844470580838,0.0415093502208592,0.252613336442406,3.96191059919732e-08,0.0444743038080634,5.4026053625418e-08
"Control","PTGS2",460,-0.0998176000256433,0.032324700893613,0.279979408971624,9.8888015888357e-10,0.0372977318003227,1.64813359813928e-09
"Control","BCL2",460,-0.204071606321802,1.02681666509929e-05,0.278527369212238,1.21552919165556e-09,2.03839997426425e-05,1.82329378748334e-09
"Control","BIRC3",460,-0.540734987446518,2.74308509358572e-36,-0.0863783806810279,0.0641652069152405,4.11462764037858e-35,0.0641652069152405
"Control","XIAP",460,0.362819377177134,9.29087713772834e-16,-0.164276481466221,0.000403452198872136,3.48407892664813e-15,0.000465521767929387
"UC_inflamed","IL6",293,-0.341638244373547,1.91880970732401e-09,0.346913400937713,1.03833142843859e-09,8.22818751221762e-09,3.89374285664471e-09
"UC_inflamed","TNF",293,-0.216640539052593,0.000186294129853047,0.416613469061543,9.92712493914621e-14,0.000310490216421745,4.96356246957311e-13
"UC_inflamed","CCL2",293,-0.41542810962339,1.18408171696731e-13,0.216402648396733,0.000189431857412995,8.88061287725482e-13,0.000258316169199539
"UC_inflamed","CXCL8",293,-0.228663217121904,7.82137043262453e-05,0.272672841051066,2.16338176748174e-06,0.00014665069561171,3.2450726512226e-06
"UC_inflamed","CXCL1",293,-0.168479697269529,0.00382452744364087,0.343271756677259,1.58846573016394e-09,0.00521526469587391,4.76539719049181e-09
"UC_inflamed","CXCL2",293,-0.110002662058792,0.060025756616083,0.273889650807788,1.9405745605469e-06,0.0750321957701037,3.2450726512226e-06
"UC_inflamed","ICAM1",293,-0.325467219942351,1.17496504811576e-08,0.423812297987229,3.35238666244638e-14,3.52489514434729e-08,2.51428999683478e-13
"UC_inflamed","VCAM1",293,-0.513040271510914,4.507109326578e-21,0.289110018258615,4.76469680563827e-07,6.760663989867e-20,1.19117420140957e-06
"UC_inflamed","NFKBIA",293,-0.0730401188480442,0.2125563937479,0.272895324519214,2.12089687811683e-06,0.227738993301321,3.2450726512226e-06
"UC_inflamed","TNFAIP3",293,-0.103345606791971,0.0773686731070904,0.449591532788845,5.52152985377297e-16,0.0892715458927966,8.28229478065946e-15
"UC_inflamed","CCL20",293,0.00182813786602116,0.975142783860345,0.191397508252479,0.000992353093121127,0.975142783860345,0.00124044136640141
"UC_inflamed","PTGS2",293,-0.238514742939581,3.70814613592753e-05,0.283027810700475,8.43544866968122e-07,7.94602743413042e-05,1.80759614350312e-06
"UC_inflamed","BCL2",293,-0.172281002727895,0.00309117903736658,-0.0650402036017743,0.26711738471266,0.00463676855604987,0.26711738471266
"UC_inflamed","BIRC3",293,-0.340473025902118,2.19418333659137e-09,0.101360500318081,0.0832630151621894,8.22818751221762e-09,0.0892103733880601
"UC_inflamed","XIAP",293,0.265683485980301,3.99826078538308e-06,-0.120582155587691,0.0391370149438032,9.99565196345771e-06,0.0451580941659267
"CD_inflamed","IL6",418,-0.125278533880451,0.0103544073600785,0.398933635922839,2.12602749752245e-17,0.0172573456001309,7.97260311570918e-17
"CD_inflamed","TNF",418,-0.130925464505942,0.00735544310469078,0.470098353747596,2.27520369494087e-24,0.0137914558212952,3.4128055424113e-23
"CD_inflamed","CCL2",418,-0.323261889283836,1.27030370135587e-11,0.235548122833503,1.11562365132841e-06,6.35151850677933e-11,1.5213049790842e-06
"CD_inflamed","CXCL8",418,-0.24971634522686,2.31176954963322e-07,0.140121820461524,0.0040996271017446,6.93530864889965e-07,0.00512453387718075
"CD_inflamed","CXCL1",418,-0.0372311256748789,0.44774729589211,0.366396817132051,9.99336435108712e-15,0.44774729589211,2.49834108777178e-14
"CD_inflamed","CXCL2",418,0.102634828109467,0.0359376157112092,0.331259336893456,3.66564534911986e-12,0.0539064235668138,7.85495431954255e-12
"CD_inflamed","ICAM1",418,-0.190298289511269,9.04648000751053e-05,0.440509562983199,2.85888558978838e-21,0.000226162000187763,2.14416419234129e-20
"CD_inflamed","VCAM1",418,-0.420943121260948,2.21400236122159e-19,0.389097983403577,1.46877643255661e-16,1.66050177091619e-18,4.40632929766984e-16
"CD_inflamed","NFKBIA",418,-0.0620516022805421,0.205488270800677,0.276778175303313,8.68478986688654e-09,0.256860338500846,1.30271848003298e-08
"CD_inflamed","TNFAIP3",418,-0.0427981603252415,0.382777468839885,0.412934510063646,1.21205138948513e-18,0.410118716614163,6.06025694742565e-18
"CD_inflamed","CCL20",418,-0.0481381233184765,0.326194280158676,0.0486824621018432,0.320747192083348,0.376378015567703,0.320747192083348
"CD_inflamed","PTGS2",418,-0.14245156386567,0.00351600680430948,0.286431966258604,2.46146421914407e-09,0.00753430029494888,4.61524541089514e-09
"CD_inflamed","BCL2",418,0.0733604937543382,0.134292940362283,0.278371332765543,7.0768347082974e-09,0.183126736857658,1.1794724513829e-08
"CD_inflamed","BIRC3",418,-0.457651012715766,4.98537990669243e-23,-0.0954791015984248,0.0510941996072138,7.47806986003865e-22,0.0589548457006313
"CD_inflamed","XIAP",418,0.289195882904963,1.70034528534755e-09,-0.0848313670854592,0.0832181198610415,6.3762948200533e-09,0.0891622712796873
