"target","mean_marg","mean_part","direction"
"BCL2",-0.0494602544867782,0.106665564581884,"Co-regulated (epithelial program)"
"BIRC3",-0.399062019308942,0.00294069935982792,"Independent"
"CCL2",-0.369344999453613,0.225975385615118,"Co-regulated (epithelial program)"
"CCL20",-0.0231549927262277,0.120039985177161,"Co-regulated (epithelial program)"
"CXCL1",-0.102855411472204,0.354834286904655,"Co-regulated (epithelial program)"
"CXCL2",-0.00368391697466289,0.302574493850622,"Co-regulated (epithelial program)"
"CXCL8",-0.239189781174382,0.206397330756295,"Co-regulated (epithelial program)"
"ICAM1",-0.25788275472681,0.432160930485214,"Co-regulated (epithelial program)"
"IL6",-0.233458389126999,0.372923518430276,"Co-regulated (epithelial program)"
"NFKBIA",-0.0675458605642931,0.274836749911264,"Co-regulated (epithelial program)"
"PTGS2",-0.190483153402625,0.284729888479539,"Co-regulated (epithelial program)"
"TNF",-0.173783001779268,0.443355911404569,"Co-regulated (epithelial program)"
"TNFAIP3",-0.0730718835586063,0.431263021426246,"Co-regulated (epithelial program)"
"VCAM1",-0.466991696385931,0.339104000831096,"Co-regulated (epithelial program)"
"XIAP",0.277439684442632,-0.102706761336575,"Decoupled (SIRT6 suppresses target)"
