"broad_type","target","n_samples","rho","p","q"
"Epithelial","NFKBIA",9,0.566666666666667,0.111632987611491,0.528136331414945
"Epithelial","TNF",9,-0.554482624066938,0.121299125722456,0.528136331414945
"Epithelial","CCL2",9,-0.547722557505166,0.126870366923671,0.528136331414945
"Epithelial","IL6",9,0.547722557505166,0.126870366923671,0.528136331414945
"Epithelial","CXCL8",9,-0.5,0.170470660787054,0.528136331414945
"Epithelial","RELA",9,-0.483333333333333,0.187469855215542,0.528136331414945
"Epithelial","TNFAIP3",9,0.466666666666667,0.205386351105812,0.528136331414945
"Epithelial","PTGS2",9,-0.235004835540192,0.542741407772317,0.932617460513
"Epithelial","CXCL1",9,-0.216666666666667,0.575514895711925,0.932617460513
"Epithelial","BIRC3",9,0.216666666666667,0.575514895711926,0.932617460513
"Epithelial","MAP3K7",9,0.2,0.605901274179553,0.932617460513
"Epithelial","CASP1",9,0.166666666666667,0.668231040071504,0.932617460513
"Epithelial","ICAM1",9,0.15,0.700094230969142,0.932617460513
"Epithelial","NLRP3",9,-0.136930639376292,0.725369135954555,0.932617460513
"Epithelial","IL1B",9,-0.0833333333333333,0.831214097710308,0.966054803994686
"Epithelial","PYCARD",9,-0.0333333333333333,0.932156735540504,0.966054803994686
"Epithelial","BCL2",9,0.0333333333333333,0.932156735540504,0.966054803994686
"Epithelial","FOXC1",9,-0.0166666666666667,0.966054803994686,0.966054803994686
"Immune","CXCL8",9,0.711303297442365,0.0316565570333023,0.360759312740115
"Immune","CXCL1",9,0.683333333333333,0.0424422720870724,0.360759312740115
"Immune","ICAM1",9,0.583333333333333,0.0991858164798833,0.562052960052672
"Immune","CCL2",9,0.504975246918104,0.165574205855487,0.642566113529633
"Immune","IL6",9,0.478713553878169,0.192344301444771,0.642566113529633
"Immune","IL1B",9,0.443518526640533,0.231784065299374,0.642566113529633
"Immune","PYCARD",9,0.416666666666667,0.264586046747496,0.642566113529633
"Immune","TNF",9,0.366666666666667,0.331739801433015,0.672103636947823
"Immune","NFKBIA",9,0.35,0.355819572501789,0.672103636947823
"Immune","PTGS2",9,0.233333333333333,0.545698778218273,0.927687922971064
"Immune","NLRP3",9,-0.174077655955698,0.654205490831325,0.946660640101297
"Immune","BIRC3",9,-0.166666666666667,0.668231040071504,0.946660640101297
"Immune","BCL2",9,0.0833333333333333,0.831214097710308,0.990416531511786
"Immune","CASP1",9,0.0666666666666667,0.864689784626204,0.990416531511786
"Immune","MAP3K7",9,0.05,0.89835280435063,0.990416531511786
"Immune","TNFAIP3",9,0.0333333333333333,0.932156735540504,0.990416531511786
"Immune","RELA",9,0,1,1
