"broad_type","target","rho_pb","rho_sc","consistent"
"Epithelial","RELA",-0.483333333333333,-0.554062017627039,TRUE
"Epithelial","MAP3K7",0.2,-0.359077977523082,FALSE
"Epithelial","CASP1",0.166666666666667,-0.648766670855384,FALSE
"Epithelial","NLRP3",-0.136930639376292,-0.0408022145939581,TRUE
"Epithelial","IL1B",-0.0833333333333333,-0.360869855969978,TRUE
"Epithelial","PYCARD",-0.0333333333333333,-0.683082838566592,TRUE
"Epithelial","FOXC1",-0.0166666666666667,-0.176015271088745,TRUE
"Immune","IL1B",0.443518526640533,-0.795234812599629,FALSE
"Immune","PYCARD",0.416666666666667,-0.621731559356724,FALSE
"Immune","NLRP3",-0.174077655955698,-0.695811540280247,TRUE
"Immune","CASP1",0.0666666666666667,-0.638809656679786,FALSE
"Immune","MAP3K7",0.05,-0.694020941604959,FALSE
"Immune","RELA",0,-0.652945829308628,FALSE
