"subset","target","n","rho_rankres","rho_ppcor","diff"
"All_samples","NLRP3",2483,0.331366678653911,0.331366678653911,1.11022302462516e-16
"All_samples","CASP1",2483,-0.163301741580593,-0.163301741580593,0
"All_samples","IL1B",2483,0.293711537054898,0.293711537054898,5.55111512312578e-17
"All_samples","PYCARD",2483,-0.147367457334127,-0.147367457334127,5.55111512312578e-17
"All_samples","MAP3K7",2483,-0.218696182880551,-0.218696182880552,1.11022302462516e-16
"All_samples","RELA",2483,0.311843229343787,0.311843229343787,5.55111512312578e-17
"All_samples","FOXC1",2483,0.131731062999514,0.131731062999514,0
"Control","NLRP3",460,0.279498342121244,0.279498342121244,0
"Control","CASP1",460,-0.319881418584877,-0.319881418584877,5.55111512312578e-17
"Control","IL1B",460,0.320597370649771,0.320597370649771,5.55111512312578e-17
"Control","PYCARD",460,-0.149260831305584,-0.149260831305584,-5.55111512312578e-17
"Control","MAP3K7",460,-0.183711988581742,-0.183711988581742,-2.77555756156289e-17
"Control","RELA",460,0.255027715485951,0.255027715485951,0
"Control","FOXC1",460,0.0103660008671102,0.0103660008671101,8.32667268468867e-17
"UC_inflamed","NLRP3",293,0.394803833114765,0.394803833114765,-1.66533453693773e-16
"UC_inflamed","CASP1",293,0.0200831070044109,0.0200831070044109,3.46944695195361e-18
"UC_inflamed","IL1B",293,0.316949630575354,0.316949630575354,5.55111512312578e-17
"UC_inflamed","PYCARD",293,-0.220755935784407,-0.220755935784407,1.38777878078145e-16
"UC_inflamed","MAP3K7",293,-0.265690973519002,-0.265690973519002,-5.55111512312578e-17
"UC_inflamed","RELA",293,0.421374336405266,0.421374336405266,-5.55111512312578e-17
"UC_inflamed","FOXC1",293,0.201777739194203,0.201777739194203,8.32667268468867e-17
"CD_inflamed","NLRP3",418,0.250365234590198,0.250365234590198,-2.22044604925031e-16
"CD_inflamed","CASP1",418,-0.0623052570116392,-0.0623052570116392,-4.85722573273506e-17
"CD_inflamed","IL1B",418,0.301505679809173,0.301505679809174,-1.66533453693773e-16
"CD_inflamed","PYCARD",418,-0.0848908650749756,-0.0848908650749757,6.93889390390723e-17
"CD_inflamed","MAP3K7",418,-0.254899032343503,-0.254899032343503,0
"CD_inflamed","RELA",418,0.413184790897412,0.413184790897412,-1.66533453693773e-16
"CD_inflamed","FOXC1",418,0.185258907103614,0.185258907103614,5.55111512312578e-17
